"Account_ID";"NAME";"COUNTRY";"TOPIC_OF_INFLUENCE";"PLATFORM"
"1";"National Geographic";"Unknown";"Nature";"THREADS"
"2";"Jennifer Lopez ";"Unknown";"Entertainment & Music";"THREADS"
"3";"433";"Unknown";"Sports";"THREADS"
"4";"Ronaldo de Assis Moreira ";"Brazil";"Sports";"THREADS"
"5";"Pubity ";"Unknown";"Entertainment & Music";"THREADS"
"6";"Anitta ";"Brazil";"Entertainment & Music";"THREADS"
"7";"Fabrizio Romano ";"Unknown";"Photography";"THREADS"
"8";"Manchester City ";"Unknown";"Sports";"THREADS"
"9";"Virginia Fonseca Costa ";"Unknown";"Romance & Wedding";"THREADS"
"10";"Vogue ";"Unknown";"Fashion & Accessories Arts & Crafts";"THREADS"
"11";"camila";"Unknown";"Entertainment & Music";"THREADS"
"12";"Richarlison ";"Brazil";"Sports";"THREADS"
"13";"Netflix Latinoamerica";"Chile";"Entertainment & Music";"THREADS"
"14";"CHOQUEI ";"Unknown";"Entertainment & Music";"THREADS"
"15";"Iran Ferreira ";"Brazil";"Funny";"THREADS"
"16";"DR. SHAQUILLE O'NEAL Ed.D. ";"United States";"Sports";"THREADS"
"17";"KATY PERRY ";"United States";"Entertainment & Music";"THREADS"
"18";"MEMEZAR MEMES & MEME-CULTURE ";"Unknown";"Funny";"THREADS"
"19";"BZRP ";"Unknown";"Entertainment & Music";"THREADS"
"20";"MEL MAIA ";"Brazil";"Entertainment & Music";"THREADS"
"21";"House of Highlights ";"Unknown";"Sports";"THREADS"
"22";"The Shade Room ";"Brazil";"Entertainment & Music Funny Romance & Wedding Life & Society";"THREADS"
"23";"Alok Petrillo";"Unknown";"Entertainment & Music";"THREADS"
"24";"Luisillo El Pillo ";"Mexico";"Entertainment & Music Funny";"THREADS"
"25";"JoJo ";"Brazil";"Entertainment & Music";"THREADS"
"26";"Carlinhos Maia ";"Unknown";"Entertainment & Music";"THREADS"
"27";"CNN ";"Unknown";"News";"THREADS"
"28";"Zach King ";"Unknown";"Entertainment & Music Arts & Crafts Animation & Cosplay";"THREADS"
"29";"BEAUTIFUL DESTINATIONS ";"Unknown";"Travel";"THREADS"
"30";"Burak Özdemir ";"Unknown";"Food";"THREADS"
"31";"Lele Pons ";"Venezuela";"Entertainment & Music";"THREADS"
"32";"Gusttavo Lima ";"Brazil";"Entertainment & Music Romance & Wedding";"THREADS"
"33";"Sou Eu Na Vida ";"Unknown";"Entertainment & Music Funny";"THREADS"
"34";"Wiz Khalifa ";"Brazil";"Entertainment & Music";"THREADS"
"35";"Victoria's Secret ";"Unknown";"Unknown";"THREADS"
"36";"Mirella Santos ";"Brazil";"Fitness & Health";"THREADS"
"37";"NOMBRE";"Brazil";"Acting & Drama Business & Entrepreneurship";"THREADS"
"38";"James Rodríguez ";"Colombia";"Sports";"THREADS"
"39";"6ix9ine";"Unknown";"Unknown";"THREADS"
"40";"Zé ";"Unknown";"Unknown";"THREADS"
"41";"luisa sonza";"Brazil";"Entertainment & Music";"THREADS"
"42";"hande miyy";"Unknown";"Animation & Cosplay";"THREADS"
"43";"mia khalifa";"United States";"Entertainment & Music";"THREADS"
"44";"dove cameron";"Unknown";"Entertainment & Music";"THREADS"
"45";"EarthPix Travel ";"Unknown";"Nature Travel Photography";"THREADS"
"46";"WorldStar Hip Hop / WSHH ";"Unknown";"Entertainment & Music";"THREADS"
"47";"Alfinetadas Dos Famosos ";"United States";"Fashion & Accessories Entertainment & Music";"THREADS"
"48";"Sincero Oficial ";"Unknown";"Funny";"THREADS"
"49";"MALUMA ";"Colombia";"Entertainment & Music";"THREADS"
"50";"wesley safadao";"Unknown";"Entertainment & Music";"THREADS"
"51";"Hugo Gloss ";"Brazil";"Entertainment & Music";"THREADS"
"52";"Rockstar Games ";"Brazil";"Games";"THREADS"
"53";"Jay Shetty ";"Brazil";"Education Upskilling";"THREADS"
"54";"leo santana";"Unknown";"Entertainment & Music";"THREADS"
"55";"Larissa Manoela ";"Brazil";"Acting & Drama Fashion & Accessories Entertainment & Music Motherhood";"THREADS"
"56";"Deive Leonardo ";"Unknown";"Music";"THREADS"
"57";"supercarblondie";"Brazil";"Auto and Vehicles";"THREADS"
"58";"LUDMILLA ";"Brazil";"Entertainment & Music";"THREADS"
"59";"Cocielo Estaniecki ";"Brazil";"Entertainment & Music Comedy";"THREADS"
"60";"Viih Tube ";"Unknown";"Entertainment & Music family";"THREADS"
"61";"FUCKJERRY ";"United States";"Entertainment & Music Funny";"THREADS"
"62";"Rafa Kalimann ";"Unknown";"Nature Animals Entertainment & Music Life & Society";"THREADS"
"63";"BIANCA ";"Unknown";"Beauty & Self Care";"THREADS"
"64";"Mari Maria ";"Unknown";"Beauty & Self Care";"THREADS"
"65";"IZA ";"Brazil";"Entertainment & Music";"THREADS"
"66";"gessica kayane";"Unknown";"Entertainment & Music";"THREADS"
"67";"Sunny Leone ";"Unknown";"Beauty & Self Care";"THREADS"
"68";"mccabelinho";"Unknown";"Beauty & Self Care";"THREADS"
"69";"Sabrina Sato ";"Brazil";"Entertainment & Music Acting & Drama";"THREADS"
"70";"Sarcasm ";"Brazil";"Funny";"THREADS"
"71";"Arsenal ";"United Kingdom";"Sports";"THREADS"
"72";"Nazare Amarga ";"United Kingdom";"Entertainment & Music";"THREADS"
"73";"Gary Vay-Ner-Chuk ";"Unknown";"Finance Upskilling Entertainment & Music";"THREADS"
"74";"The Daily Show ";"Unknown";"Entertainment & Music Education";"THREADS"
"75";"Gina Indelicada ";"United Kingdom";"Entertainment & Music";"THREADS"
"76";"RapTV ";"United Kingdom";"Unknown";"THREADS"
"77";"Giannis Ugo Antetokounmpo ";"Greece";"Sports";"THREADS"
"78";"Simaria ";"Unknown";"Entertainment & Music";"THREADS"
"79";"Giovanna Ewbank ";"Unknown";"Entertainment & Music family";"THREADS"
"80";"isis valverde ";"Brazil";"Entertainment & Music";"THREADS"
"81";"COMPLEX ";"Unknown";"Entertainment & Music Fashion & Accessories Product Showcase";"THREADS"
"82";"LUCAS RANGEL ";"Brazil";"Beauty & Self Care";"THREADS"
"83";"Boca de 09 ";"Brazil";"Unknown";"THREADS"
"84";"billboard ";"United States";"Entertainment & Music";"THREADS"
"85";"GIL DO VIGOR ";"Unknown";"Finance Education";"THREADS"
"86";"Fred Bruno ";"Unknown";"Entertainment & Music";"THREADS"
"87";"KIM LOAIZA ";"Unknown";"Unknown";"THREADS"
"88";"Davido ";"Nigeria";"Music";"THREADS"
"89";"Lorena Improta ";"Unknown";"Entertainment & Music";"THREADS"
"90";"Forbes Brasil ";"Brazil";"Finance";"THREADS"
"91";"disruptiv & faithfull ";"Unknown";"Entertainment & Music";"THREADS"
"92";"ARIGAMEPLAYS ";"Unknown";"Games Entertainment & Music";"THREADS"
"93";"Thiago Nigro O Primo Rico ";"Unknown";"Finance";"THREADS"
"94";"Tiago Ventura";"Unknown";"Entertainment & Music Funny";"THREADS"
