"Metric_ID";"Account_ID";"NAME";"PLATFORM";"FOLLOWERS";"POTENTIAL_REACH";"ENGAGEMENT";"ER"
"1";"1";"National Geographic";"THREADS";"4900000";"1500000";"18130";"0.0037"
"2";"2";"Jennifer Lopez ";"THREADS";"3900000";"1200000";"12870";"0.0033"
"3";"3";"433";"THREADS";"3800000";"1100000";"11400";"0.003"
"4";"4";"Ronaldo de Assis Moreira ";"THREADS";"3000000";"898100";"18000";"0.006"
"5";"5";"Pubity ";"THREADS";"2800000";"830900";"6719.999999999999";"0.0024"
"6";"6";"Anitta ";"THREADS";"2500000";"764900";"20000";"0.008"
"7";"7";"Fabrizio Romano ";"THREADS";"2500000";"763800";"3750";"0.0015"
"8";"8";"Manchester City ";"THREADS";"2500000";"735100";"13000";"0.0052"
"9";"9";"Virginia Fonseca Costa ";"THREADS";"2300000";"677300";"2530";"0.0011"
"10";"10";"Vogue ";"THREADS";"2200000";"652100";"3080";"0.0014"
"11";"11";"camila";"THREADS";"2100000";"617700";"0";"0"
"12";"12";"Richarlison ";"THREADS";"2000000";"589100";"10800";"0.0054"
"13";"13";"Netflix Latinoamerica";"THREADS";"1800000";"543200";"3779.9999999999995";"0.0021"
"14";"14";"CHOQUEI ";"THREADS";"1800000";"534700";"2700";"0.0015"
"15";"15";"Iran Ferreira ";"THREADS";"1800000";"525200";"5400";"0.003"
"16";"16";"DR. SHAQUILLE O'NEAL Ed.D. ";"THREADS";"1700000";"519600";"3740";"0.0022"
"17";"17";"KATY PERRY ";"THREADS";"1700000";"509100";"0";"0"
"18";"18";"MEMEZAR MEMES & MEME-CULTURE ";"THREADS";"1700000";"504400";"10540";"0.0062"
"19";"19";"BZRP ";"THREADS";"1700000";"496200";"55419.99999999999";"0.0326"
"20";"20";"MEL MAIA ";"THREADS";"1600000";"487500";"9120";"0.0057"
"21";"21";"House of Highlights ";"THREADS";"1600000";"482600";"2400";"0.0015"
"22";"22";"The Shade Room ";"THREADS";"1600000";"475700";"1280";"0.0008"
"23";"23";"Alok Petrillo";"THREADS";"1500000";"460700";"2250";"0.0015"
"24";"24";"Luisillo El Pillo ";"THREADS";"1500000";"459100";"56850.00000000001";"0.0379"
"25";"25";"JoJo ";"THREADS";"1500000";"449900";"7350";"0.0049"
"26";"26";"Carlinhos Maia ";"THREADS";"1500000";"449900";"4500";"0.003"
"27";"27";"CNN ";"THREADS";"1500000";"447200";"1650";"0.0011"
"28";"28";"Zach King ";"THREADS";"1500000";"443400";"4500";"0.003"
"29";"29";"BEAUTIFUL DESTINATIONS ";"THREADS";"1500000";"441700";"4800";"0.0032"
"30";"30";"Burak Özdemir ";"THREADS";"1500000";"436000";"5550";"0.0037"
"31";"31";"Lele Pons ";"THREADS";"1400000";"433300";"5320";"0.0038"
"32";"32";"Gusttavo Lima ";"THREADS";"1400000";"432400";"3920";"0.0028"
"33";"33";"Sou Eu Na Vida ";"THREADS";"1400000";"432000";"7420";"0.0053"
"34";"34";"Wiz Khalifa ";"THREADS";"1400000";"431300";"2800";"0.002"
"35";"35";"Victoria's Secret ";"THREADS";"1400000";"421500";"700";"0.0005"
"36";"36";"Mirella Santos ";"THREADS";"1400000";"420300";"9660";"0.0069"
"37";"37";"NOMBRE";"THREADS";"1400000";"417300";"4620";"0.0033"
"38";"38";"James Rodríguez ";"THREADS";"1400000";"411900";"6020";"0.0043"
"39";"39";"6ix9ine";"THREADS";"1400000";"408200";"0";"0"
"40";"40";"Zé ";"THREADS";"1400000";"407700";"2380";"0.0017"
"41";"41";"luisa sonza";"THREADS";"1300000";"404100";"7670";"0.0059"
"42";"42";"hande miyy";"THREADS";"1300000";"398700";"35230";"0.0271"
"43";"43";"mia khalifa";"THREADS";"1300000";"393900";"1950";"0.0015"
"44";"44";"dove cameron";"THREADS";"1300000";"386200";"0";"0"
"45";"45";"EarthPix Travel ";"THREADS";"1200000";"372600";"6480";"0.0054"
"46";"46";"WorldStar Hip Hop / WSHH ";"THREADS";"1200000";"372500";"1200";"0.001"
"47";"47";"Alfinetadas Dos Famosos ";"THREADS";"1200000";"359400";"1680";"0.0014"
"48";"48";"Sincero Oficial ";"THREADS";"1200000";"359300";"3720";"0.0031"
"49";"49";"MALUMA ";"THREADS";"1200000";"357800";"5759.999999999999";"0.0048"
"50";"50";"wesley safadao";"THREADS";"1200000";"357000";"1200";"0.001"
"51";"51";"Hugo Gloss ";"THREADS";"1200000";"353700";"359.99999999999994";"0.0003"
"52";"52";"Rockstar Games ";"THREADS";"1200000";"350000";"0";"0"
"53";"53";"Jay Shetty ";"THREADS";"1200000";"346700";"5880";"0.0049"
"54";"54";"leo santana";"THREADS";"1200000";"346700";"2760";"0.0023"
"55";"55";"Larissa Manoela ";"THREADS";"1100000";"344500";"1980";"0.0018"
"56";"56";"Deive Leonardo ";"THREADS";"1100000";"343300";"5500";"0.005"
"57";"57";"supercarblondie";"THREADS";"1100000";"343300";"880";"0.0008"
"58";"58";"LUDMILLA ";"THREADS";"1100000";"338200";"5060";"0.0046"
"59";"59";"Cocielo Estaniecki ";"THREADS";"1100000";"334100";"5610";"0.0051"
"60";"60";"Viih Tube ";"THREADS";"1100000";"329800";"11110";"0.0101"
"61";"61";"FUCKJERRY ";"THREADS";"1100000";"327100";"8470";"0.0077"
"62";"62";"Rafa Kalimann ";"THREADS";"1100000";"319900";"990";"0.0009"
"63";"63";"BIANCA ";"THREADS";"1100000";"319400";"3190";"0.0029"
"64";"64";"Mari Maria ";"THREADS";"1000000";"306400";"2800";"0.0028"
"65";"65";"IZA ";"THREADS";"1000000";"305300";"4900";"0.0049"
"66";"66";"gessica kayane";"THREADS";"1000000";"304900";"1900";"0.0019"
"67";"67";"Sunny Leone ";"THREADS";"1000000";"304300";"10800";"0.0108"
"68";"68";"mccabelinho";"THREADS";"1000000";"303900";"5900";"0.0059"
"69";"69";"Sabrina Sato ";"THREADS";"1000000";"303700";"1900";"0.0019"
"70";"70";"Sarcasm ";"THREADS";"984800";"295400";"3840.72";"0.0039"
"71";"71";"Arsenal ";"THREADS";"976200";"292900";"0";"0"
"72";"72";"Nazare Amarga ";"THREADS";"975700";"292700";"1756.26";"0.0018"
"73";"73";"Gary Vay-Ner-Chuk ";"THREADS";"974100";"292200";"5260.14";"0.0054"
"74";"74";"The Daily Show ";"THREADS";"972100";"291600";"3207.93";"0.0033"
"75";"75";"Gina Indelicada ";"THREADS";"970700";"291200";"4465.22";"0.0046"
"76";"76";"RapTV ";"THREADS";"966900";"290100";"1933.8";"0.002"
"77";"77";"Giannis Ugo Antetokounmpo ";"THREADS";"953100";"285900";"4670.19";"0.0049"
"78";"78";"Simaria ";"THREADS";"951700";"285500";"1713.06";"0.0018"
