#;NAME;FOLLOWERS;ER;COUNTRY;TOPIC OF INFLUENCE;POTENTIAL REACH
1;National Geographic;4.9M;0.37%;;Nature;1.5M
2;Jennifer Lopez ;3.9M;0.33%;;Entertainment & Music;1.2M
3;433;3.8M;0.3%;;Sports;1.1M
4;Ronaldo de Assis Moreira ;3M;0.6%;Brazil;Sports;898.1K
5;Pubity ;2.8M;0.24%;;Entertainment & Music;830.9K
6;Anitta ;2.5M;0.8%;Brazil;Entertainment & Music;764.9K
7;Fabrizio Romano ;2.5M;0.15%;;Photography;763.8K
8;Manchester City ;2.5M;0.52%;;Sports;735.1K
9;Virginia Fonseca Costa ;2.3M;0.11%;;Romance & Wedding;677.3K
10;Vogue ;2.2M;0.14%;;Fashion & Accessories Arts & Crafts;652.1K
11;camila;2.1M;-;;Entertainment & Music;617.7K
12;Richarlison ;2M;0.54%;Brazil;Sports;589.1K
13;Netflix Latinoamerica;1.8M;0.21%;Chile;Entertainment & Music;543.2K
14;CHOQUEI ;1.8M;0.15%;;Entertainment & Music;534.7K
15;Iran Ferreira ;1.8M;0.3%;Brazil;Funny;525.2K
16;DR. SHAQUILLE O'NEAL Ed.D. ;1.7M;0.22%;United States;Sports;519.6K
17;KATY PERRY ;1.7M;-;United States;Entertainment & Music;509.1K
18;MEMEZAR MEMES & MEME-CULTURE ;1.7M;0.62%;;Funny;504.4K
19;BZRP ;1.7M;3.26%;;Entertainment & Music;496.2K
20;MEL MAIA ;1.6M;0.57%;Brazil;Entertainment & Music;487.5K
21;House of Highlights ;1.6M;0.15%;;Sports;482.6K
22;The Shade Room ;1.6M;0.08%;Brazil;Entertainment & Music Funny Romance & Wedding Life & Society;475.7K
23;Alok Petrillo;1.5M;0.15%;;Entertainment & Music;460.7K
24;Luisillo El Pillo ;1.5M;3.79%;Mexico;Entertainment & Music Funny;459.1K
25;JoJo ;1.5M;0.49%;Brazil;Entertainment & Music;449.9K
26;Carlinhos Maia ;1.5M;0.3%;;Entertainment & Music;449.9K
27;CNN ;1.5M;0.11%;;News;447.2K
28;Zach King ;1.5M;0.3%;;Entertainment & Music Arts & Crafts Animation & Cosplay;443.4K
29;BEAUTIFUL DESTINATIONS ;1.5M;0.32%;;Travel;441.7K
30;Burak Özdemir ;1.5M;0.37%;;Food;436K
31;Lele Pons ;1.4M;0.38%;Venezuela;Entertainment & Music;433.3K
32;Gusttavo Lima ;1.4M;0.28%;Brazil;Entertainment & Music Romance & Wedding;432.4K
33;Sou Eu Na Vida ;1.4M;0.53%;;Entertainment & Music Funny;432K
34;Wiz Khalifa ;1.4M;0.2%;Brazil;Entertainment & Music;431.3K
35;Victoria's Secret ;1.4M;0.05%;;;421.5K
36;Mirella Santos ;1.4M;0.69%;Brazil;Fitness & Health;420.3K
37;NOMBRE;1.4M;0.33%;Brazil;Acting & Drama Business & Entrepreneurship;417.3K
38;James Rodríguez ;1.4M;0.43%;Colombia;Sports;411.9K
39;6ix9ine;1.4M;-;;;408.2K
40;Zé ;1.4M;0.17%;;;407.7K
41;luisa sonza;1.3M;0.59%;Brazil;Entertainment & Music;404.1K
42;hande miyy;1.3M;2.71%;;Animation & Cosplay;398.7K
43;mia khalifa;1.3M;0.15%;United States;Entertainment & Music;393.9K
44;dove cameron;1.3M;-;;Entertainment & Music;386.2K
45;EarthPix Travel ;1.2M;0.54%;;Nature Travel Photography;372.6K
46;WorldStar Hip Hop / WSHH ;1.2M;0.1%;;Entertainment & Music;372.5K
47;Alfinetadas Dos Famosos ;1.2M;0.14%;United States;Fashion & Accessories Entertainment & Music;359.4K
48;Sincero Oficial ;1.2M;0.31%;;Funny;359.3K
49;MALUMA ;1.2M;0.48%;Colombia;Entertainment & Music;357.8K
50;wesley safadao;1.2M;0.1%;;Entertainment & Music;357K
51;Hugo Gloss ;1.2M;0.03%;Brazil;Entertainment & Music;353.7K
52;Rockstar Games ;1.2M;-;Brazil;Games;350K
53;Jay Shetty ;1.2M;0.49%;Brazil;Education Upskilling;346.7K
54;leo santana;1.2M;0.23%;;Entertainment & Music;346.7K
55;Larissa Manoela ;1.1M;0.18%;Brazil;Acting & Drama Fashion & Accessories Entertainment & Music Motherhood;344.5K
56;Deive Leonardo ;1.1M;0.5%;;Music;343.3K
57;supercarblondie;1.1M;0.08%;Brazil;Auto and Vehicles;343.3K
58;LUDMILLA ;1.1M;0.46%;Brazil;Entertainment & Music;338.2K
59;Cocielo Estaniecki ;1.1M;0.51%;Brazil;Entertainment & Music Comedy;334.1K
60;Viih Tube ;1.1M;1.01%;;Entertainment & Music family;329.8K
61;FUCKJERRY ;1.1M;0.77%;United States;Entertainment & Music Funny;327.1K
62;Rafa Kalimann ;1.1M;0.09%;;Nature Animals Entertainment & Music Life & Society;319.9K
